content
"saya ini pengguna setia aplikasi shopee dari 2020, tapi kenapa makin kesini sistem pengiriman barang makin lelet ya? kadang estimasi kapan datang kapan, udah gitu ga bisa konfirmasi dengan kurir nya, aneh nya kalo paket cod Dateng nya cepet sedangkan paket non cod datang nya lama sekali, padahal kan kalo non cod memudahkan kurir juga saat ga ada penerima tapi kenapa sekarang lelet banget, tolong sistem nya di perbaiki lagi, Terima kasih."
"aku suka Lo sama shopee, sering belanja ini itu, layanannya juga bagus, kurir langganan juga udah kaya teman tongkrongan, tapi cuma satu yang bikin kesel masalah iklan nya dimana mana, besepah dimana mana, mau baca novel, komik, nonton film, dan apa apa selalu terlempar kedalam langsung aplikasi bukan cuma iklan langsung masuk terlempar ke dalam aplikasi langsung, gak cuma sekali tapi berkali kali, mau di uninstal sayang, gak di uninstal bikin kesel, apa lagi pas baca novel 1 halmn bikin pusing."
"Aplikasi belanja paling top. Tolong di rubah, JARINGAN SANGAT LANCAR TAPI TETEP LOADING, DI APLIKASI LEMOT BANGET. Hp 3 sama ternyata, awalnya saya kira cuma jaringan wifi saya. ternyata dari aplikasi. Saya war diskon ga dapet gara² jaringan error. Sangat tidak nyaman untuk penggguna. TOLONG SEGERA DI TINDAK LANJUTI. TERIMA KASIH...."
"Shope skrng pengiriman nya sngt lambat, paket saya berminggu"" stuck tidak ad perubahan... Bukan cuma satu paket tapi 6 paket, ad apa dngn pengiriman ke daerah kalimantan selatan sehingga bgtu trlambat estimasi nya ?? Dan parah nya tnggl estimasi garansi keterlambatan nya bisa berubah ubah itupun skrng konpensasinya berupa voucher yg hnya dpt di gunakan selama sehari kalau tidak hangus, tdk sperti dlu berbentuk koin, tdk ad keuntungan untuk pembeli yg ad rugi. Tolong lah di perbaiki !!"
"Semakin sering dibuat belanja semakin dipersulit, begitu juga akun toko, baru aja buka toko, ngurus gratis ongkir extra gampang memang tinggal isi form, lalu nunggu sesuai tgl jatuh tempo, nyatanya sampai skrg blm ada jawaban sama sekali dari cs. akun utk beli pun sering tiba2 batal selalu alasan aktifitas tdk wajar. aanehhh aneehh.. aplikasi nya sendiri yg ksh vocer gede2, giliran dipake selalu balsis."
"MP paling enak pengiriman cepat walaupun freeongkir ini dulu ya, SEKARANG parah HABIS ekspedisi SPXnya bisa berhari2 dan muter2 komplen berkali2 di dengar saat itu tapi pihak ekspedisi tetep ga berubah !!! jika tidak ada SPO yang jelas dan solusi untuk pengiriman ke alamat, maaf gue Uninstall!!! Terima Kasih!!!!"
ga enak banget gabisa membatalkan pesanan pada shopeefood. gimana kalau kita sebagai pengguna ga sengaja kepencet terus gada mode membatalkan pesanan. kalau bisa diperbaiki yaa min paling tidak minimal pesanan dibatalkan dengan beberapa alasan yang logis 🙏
"Baru kali ini belanja di Shopee banyak kendalanya, pesanan ku stuck di gudang Bekasi, saya pesen tanggal 5 April dan sampe sekarang 1 minggu lebih belum juga sampai, kayanya masalahnya di ekspedisinya yaitu SPX, tar kalo ada pilihan ekpedisi lain, saya tetep akan belanja di Shopee, tapi tidak akan banyak seperti dulu, karena sudah kecewa sama ekpedisi nya yaitu SPX.. Dan kebanyakan akan pindah ke Aplikasi Belanja Online yang lain, karena kalian pihak Shopee telah membuat saya kecewa.."
"Fitur chat ai bikin emosi, mau tanya stok atau varian jawabannya muter2 disitu aja, sedangkan saya sering beli kadang stok atau varian kosong, jadi repot cancel pesanan, tolong diperbaiki, atau kasih opsi tombol chat dengan penjual, kadang saya butuh balasan dari penjualnya langsung terkait ketersediaan stok dan varian yang spesifik, tidak mau ribet cancel pesanan, karena waktu saya tidak hanya di aplikasi shopee saja, nggak cuma sekali dua kali cancel pesanan karena stok kosong."
"saya mohon pihak APK, untuk opsi pengiriman nya kasih pilihan dong, KLO bisa jangan dr pihak SPX, saya sudah beberapa kali order, bahkan orderan saya tunai ko, Bukan cod, gak pernah nyampe, padahal sebelum adanya SPX, saya order selalu sampe dengan cepat, bahkan konfirmasi dulu, klo SPX gak, tau² ada notif pesanan anda di cancel/ di batalkan, padahal saya butuh bgt barang itu,,, sungguh mengecewakan, #TERIMAKASIH 🙏🙏🙏"
"sebenarnya aplikasinya bagus, sangat membantu, nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi, padahal harga produk sudah terjangkau dan 1 lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah, mana jauh sekali 1 km an, untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak, kasian drivernya. kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit🙏🏻"
"Tolong dong peraturan sistem pembayaran cod dilonggarkan lagi seperti semula, kebanyakan toko sekarang nggak bisa cod, ini menyulitkan bagi costumer yang nggak punya e wallet atau nggak sempat ke indomaret/alfamart buat bayar waktu mau memesan barang yang diincar!! Pelayanan ekspedisi juga makin lama makin buruk, barang selalu telat datang, bikin kesal aja!!"
"Overall aplikasinya bagus bgt dipakai buat belanja. TAPI, Kok banyak toko yang di tulisannya ada COD, tapi pas saya mau pesen menu cod nya gmau???, seringnya disuruh pakai spaylater Mulu, Tolong bgt untuk pihak shopee Perbaiki ini, saya pdhal g pernah nolak paket cod loh..., jadi tolong ya mohon diperbaiki, saya suka bgt belanja pakai Aplikasi ini pdhal, tlong ya bantuannya🙏🙏🙏🙏🙏"
"saya kasih bintang 1, sekarang pengiriman lambat, diluar estimasti terus, voucher garansi cuma 10k ada minimal pembelian, tidak ada tindakan untuk ekspedisinya. Tidak cuma sekali paket saya lambat bahkan batal tidak jadi dikirim. Tolong dong shopee perbaiki lagi, tegur ekspedisinyaaaaaaa"
